DATEPRD;WELL_BORE_CODE;NPD_WELL_BORE_CODE;NPD_WELL_BORE_NAME;NPD_FIELD_CODE;NPD_FIELD_NAME;NPD_FACILITY_CODE;NPD_FACILITY_NAME;ON_STREAM_HRS;AVG_DOWNHOLE_PRESSURE;AVG_DOWNHOLE_TEMPERATURE;AVG_DP_TUBING;AVG_ANNULUS_PRESS;AVG_CHOKE_SIZE_P;AVG_CHOKE_UOM;AVG_WHP_P;AVG_WHT_P;DP_CHOKE_SIZE;BORE_GAS_VOL;BORE_WAT_VOL;BORE_WI_VOL;FLOW_KIND;WELL_TYPE;BORE_OIL_VOL
12.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,059;0;0;;production;OP;0
13.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,068;0;0;;production;OP;0
14.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,05;0;0;;production;OP;0
15.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,066;0;0;;production;OP;0
16.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,105;0;0;;production;OP;0
17.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,136;0;0;;production;OP;0
18.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,234;0;0;;production;OP;0
19.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,567;0;0;;production;OP;0
20.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,614;0;0;;production;OP;0
21.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,74;0;0;;production;OP;0
22.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,994;0;0;;production;OP;0
23.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;1                                                                                                                                                                                                                                                                       ,395;0;0;;production;OP;0
24.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;1                                                                                                                                                                                                                                                                       ,907;0;0;;production;OP;0
25.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;2                                                                                                                                                                                                                                                                       ,884;0;0;;production;OP;0
26.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;3                                                                                                                                                                                                                                                                       ,805;0;0;;production;OP;0
27.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;4                                                                                                                                                                                                                                                                       ,606;0;0;;production;OP;0
28.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;5                                                                                                                                                                                                                                                                       ,447;0;0;;production;OP;0
29.02.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;6                                                                                                                                                                                                                                                                       ,364;0;0;;production;OP;0
01.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,001;;%;0;0;7            ,275;0;0;;production;OP;0
